FID,FID_1,eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_tx,region,region_txt,provstate,city,latitude,longitude,specificit,vicinity,location,summary,crit1,crit2,crit3,doubtterr,alternativ,alternat_1,multiple,success,suicide,attacktype,attackty_1,attackty_2,attackty_3,attackty_4,attackty_5,targtype1,targtype1_,targsubtyp,targsubt_1,corp1,target1,natlty1,natlty1_tx,targtype2,targtype2_,targsubt_2,targsubt_3,corp2,target2,natlty2,natlty2_tx,targtype3,targtype3_,targsubt_4,targsubt_5,corp3,target3,natlty3,natlty3_tx,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain,guncerta_1,guncerta_2,individual,nperps,nperpcap,claimed,claimmode,claimmode_,claim2,claimmode2,claimmod_1,claim3,claimmode3,claimmod_2,compclaim,weaptype1,weaptype1_,weapsubtyp,weapsubt_1,weaptype2,weaptype2_,weapsubt_2,weapsubt_3,weaptype3,weaptype3_,weapsubt_4,weapsubt_5,weaptype4,weaptype4_,weapsubt_6,weapsubt_7,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propexte_1,propvalue,propcommen,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcoun,ransom,ransomamt,ransomamtu,ransompaid,ransompa_1,ransomnote,hostkidout,hostkido_1,nreleased,addnotes,scite1,scite2,scite3,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related,FID_2,SOA_CODE,SOA_LABEL,SOA,SOA_CODE_1,All_usual,Religion or religion brought up in: Catholic,Religion or religion brought up in: Protestant and Other Christian (including Christian related),Religion or religion brought up in: Other religions,Religion or religion brought up in: None,Religion or religion brought up in: Catholic (%),Religion or religion brought up in: Protestant and Other Christian (including Christian related) (%),Religion or religion brought up in: Other religions (%),Religion or religion brought up in: None (%)
0,18,2.00108E+11,2001,8,2, ,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Belfast,54.662387,-6.217726,1,0, ,"08/02/2001: After an unidentified man claiming to speak for the Real IRA telephoned a warning, a car bomb was found in the Belfast International Airport in Northern Ireland. The bomb was successfully defused and no casualties were suffered in this incide",1,1,1,0,0, ,0,0,0,3,Bombing/Explosion,0, ,0, ,6,Airports & Aircraft,44,Airport,Belfast International Airport,Belfast International Airport,233,Northern Ireland,0, ,0, , , ,0, , , , , , , , , ,Real Irish Republican Army (RIRA), , , , , ,The bomb was likely a bid to disrupt the British-Irish deal that had just been announced to disarm the Provisional Irish Republican Army.,0,0, ,0,0,0,1,3,Call (pre-incident),0,0, , , , ,-9,6,Explosives/Bombs/Dynamite,15,Vehicle,0, ,0, , , , , , , , , , ,0,0,0,0,0,0,0,0, ,0, ,0,0,0,0, , , ,0, , , , , ,0, ,0, ,"“20kg bomb at airport,” The Daily Telegraph, August 2, 2001.","Alan Freeman, “New Ulster peace plan takes aim at arsenals,” The Globe and Mail, August 2, 2001.","Rosie Cowan and Jonathan Freedland, “Peace plan hints at IRA arms deal: British/Irish ultimatum gives parties five days to salvage pact,” The Guardian, August 2, 2001.",CETIS,0,0,1,1, ,0,95AA01S1,Aldergrove_1,Aldergrove 1,95AA01S1,1113,161,516,24,412,14.47,46.36,2.16,37.02
1,53,2.00903E+11,2009,3,7, ,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Antrim,54.713382,-6.216761,1,0,County Antrim,"03/07/2009: On Saturday night, at a Massereene barracks, northwest of Belfast, Ireland two gunmen with automatic rifles killed two soldiers and wounded 4 more. The gunmen entered the base as pizza was being delivered to the Royal Engineers base and fired",1,1,1,0,0, ,0,1,0,2,Armed Assault,0, ,0, ,4,Military,27,Military Barracks/Base/Headquarters/Checkpost,British Army,British soldiers at the British Army base,233,Northern Ireland,14,Private Citizens & Property,77,Laborer (General)/Occupation Identified, ,Pizza delivery boy,96,Ireland, , , , , , , , ,Real Irish Republican Army (RIRA), , , , , ,The specific motive for the attack is unknown.,0,0, ,0,2,0,1,10,Unknown,0,0, , , , ,0,5,Firearms,2,Automatic Weapon,0, ,0, , , , , , , , , ,Automatic weapons were used in the attack.,2,0,0,4,0,0,-9,0, ,0,It is unknown if the attack caused any property damage.,0,0,0,0, , , ,0, , , , , ,0, ,0, ,"Agence France-Presse, ""Police Say N Ireland Attack Was 'Mass Murder' Attempt by 'Terrorists',"" Agence Fracne-Presse, March 08, 2009.","Agence France-Presse, ""Police Say N Ireland Attack Was 'Mass Murder' Attempt by 'Terrorists',"" Agence Fracne-Presse, March 08, 2009.","Press TV, ""N Ireland: Fear of Violence Grows,"" http://www.presstv.ir/Detail.aspx?id=88073&sectionid=351020601 (March 10, 2009).",ISVG,0,1,1,1, ,13,95AA11S1,Massereene_1,Massereene 1,95AA11S1,2800,955,1548,37,260,34.11,55.29,1.32,9.29
2,11,2.00009E+11,2000,9,13, ,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Armagh,54.347539,-6.656108,1,0,County Armagh,"09/11/2000: Between 08:30-08:45 am, a mortar bomb was fired from a white van at the Armagh City Police Station. The mortar exploded in the Station's parking lot. There were no injuries or casualties. The white van, a Ford Transit model, was found nearby",1,1,1,0,0, ,0,1,0,3,Bombing/Explosion,0, ,0, ,3,Police,22,"Police Building (headquarters, station, school)",Northern Ireland Police,"Northern Ireland Police Station at Armagh, County Armagh",233,Northern Ireland,0, ,0, , , ,0, , , , , , , , , ,Real Irish Republican Army (RIRA), , , , , ,Unknown,1,0, ,0,0,0,0,0, ,0,0, , , , ,0,6,Explosives/Bombs/Dynamite,11,"Projectile (rockets, mortars, RPGs, etc.)",0, ,0, , , , , , , , , ,A mortar bomb was fired at the Police Station.,0,0,0,0,0,0,1,4,Unknown,0,"A police vehicle used to transport John Taylor, the deputy leader of the Ulster Unionist Party, was damaged.  Since the mortar landed in the Police Station's parking lot, it is likely that the parking lot suffered some damage.",0,0,0,0, , , ,0, , , , , ,0, ,0, ,"Gerry Moriarty, ""Bombings spark fears of 'Real IRA' violence,"" The Irish Times, September 14, 2000.","John Mullin, ""No warning over bomb attack on RUC station,"" The Guardian, September 14, 2000.","""Mortar attack on RUC station,"" Belfast Telegraph (Internet Version-WWW), September 13, 2000.",CETIS,0,0,1,1, ,73,95CC03W1,Callan Bridge,Callan Bridge,95CC03W1,2817,2417,233,27,140,85.8,8.27,0.96,4.97
3,34,2.00305E+11,2003,5,7, ,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Armagh,54.347539,-6.656108,1,0,County Armagh,"05/7/2003: Members of the Continuity Irish Republican Army (CIRA) threw a coffee-jar bomb at a police car in Armagh, North Ireland. No casualties or damage resulted from the incident because the bomb failed to detonate. The Continuity IRA claimed respons",1,1,1,0,0, ,0,0,0,3,Bombing/Explosion,0, ,0, ,3,Police,23,Police Patrol (including vehicles and convoys),Northern Ireland Police,"A police car in Armagh, Northern Ireland",233,Northern Ireland,0, ,0, , , ,0, , , , , , , , , ,Continuity Irish Republican Army (CIRA), , , , , ,Unknown,0,0, ,0,0,0,1,10,Unknown,0,0, , , , ,-9,6,Explosives/Bombs/Dynamite,17,Other Explosive Type,0, ,0, , , , , , , , , ,A coffee-jar bomb was used in this incident.,0,0,0,0,0,0,0,0, ,0, ,0,0,0,0, , , ,0, , , , , ,0, ,0, ,"Brian Campbell, ""Continuity IRA blamed for attack on police,"" The Irish News, May 09, 2003.","Dan Keenan, ""Continuity IRA linked to attack on police car,"" The Irish Times, May 09, 2003.", ,CETIS,0,0,1,1, ,73,95CC03W1,Callan Bridge,Callan Bridge,95CC03W1,2817,2417,233,27,140,85.8,8.27,0.96,4.97
4,37,2.00311E+11,2003,11,24, ,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Armagh,54.347539,-6.656108,1,0,County Armagh,"11/24/2003: The Irish Republican Army (IRA) opened fire on a police station in Armagh, Northern Ireland. There were no reported injuries.  No group claimed responsibility for the shooting.",1,1,1,0,0, ,1,1,0,2,Armed Assault,0, ,0, ,3,Police,22,"Police Building (headquarters, station, school)",Armagh Police,A police station in Armagh,233,Northern Ireland,0, ,0, , , ,0, , , , , , , , , ,Irish Republican Army (IRA), , , , , ,Unknown,0,0, ,0,0,0,0,0, ,0,0, , , , ,0,5,Firearms,5,Unknown Gun Type,0, ,0, , , , , , , , , , ,0,0,0,0,0,0,-9,0, ,0, ,0,0,0,0, , , ,0, , , , , ,0, ,0,This was one of two related attacks (cf. 200311240005-06).  The attack may have been connected to upcoming elections.,"Alan Erwin, “Extra Police Called Over Fears of Election Day Attacks,” Press Association, November 25, 2003.","Michael McHugh, “Alert After Bomb at Base; Device partially explodes beside Dungannon Army barracks Device partially explodes beside Dungannon Army barracks,” Belfast Telegraph, November 25, 2003.", ,CETIS,0,0,1,1,"200311240006, 200311240005",73,95CC03W1,Callan Bridge,Callan Bridge,95CC03W1,2817,2417,233,27,140,85.8,8.27,0.96,4.97
5,103,2.01302E+11,2013,2,9, ,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Markethill,54.298121,-6.521291,1,0, ,"02/09/2013: Perpetrators set fire to the car of Willie Frazer, a high-ranking member of the Ulster People's Forum (UPF), in Markethill village, Armagh district, Northern Ireland, United Kingdom. The fire caused no injuries, but it seriously damaged Fraze",1,1,1,0,0, ,0,1,0,7,Facility/Infrastructure Attack,0, ,0, ,14,Private Citizens & Property,83,Protester,Ulster People's Forum (UPF),Member: Willie Frazer,233,Northern Ireland,0, ,0, , , ,0, , , , , , , , , ,Dissident Republicans, , , , , ,"The specific motive is unknown; however, Loyalist campaigner Willie Frazer claimed that Irish republican extremists targeted him, because he was running for a seat in the Northern Ireland Assembly. The seat had recently been vacated by Sinn Fein politici",0,0, ,0,-99,0,0,0, ,0,0, , , , ,0,8,Incendiary,18,Arson/Fire,0, ,0, , , , , , , , , , ,0,0,0,0,0,0,1,3,Minor (likely < $1 million),-99,"A civilian vehicle, and the guttering and kitchen door of a civilian home were damaged in this attack.",0,0,0,0, , , ,0, , , , , ,0, ,0, ,"""Arson attack at Willie Frazer's home,"" BBC, February 10, 2013.","""Arson attack   fails to divert Frazer from fighting Mid Ulster election,"" Portadown Times, February 16, 2013.","""I could have perished in arson blitz on my home, says Frazer,"" Belfast Telegraph, February 11, 2013.",START Primary Collection,0,0,1,1, ,88,95CC16W1,Markethill,Markethill,95CC16W1,2820,425,2260,14,121,15.07,80.14,0.5,4.29
6,24,2.00206E+11,2002,6,7, ,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Ballymena,54.863117,-6.278343,1,0,County Antrim,06/07/2002: Operatives with the Real Irish Republican Army (RIRA) unsuccessfully detonated a bomb under the car of a Catholic police recruit in the town of Ballymena in Northern Ireland.,1,1,1,0,0, ,0,1,0,3,Bombing/Explosion,0, ,0, ,3,Police,25,Police Security Forces/Officers,Irish Law Enforcement,Catholic Policeman in Ballymena,233,Northern Ireland,0, ,0, , , ,0, , , , , , , , , ,Real Irish Republican Army (RIRA), , , , , ,Unknown,0,0, ,0,0,0,-9,0, ,0,0, , , , ,-9,6,Explosives/Bombs/Dynamite,17,Other Explosive Type,0, ,0, , , , , , , , , ,"A booby trapped explosive device consisting of a detonator, half a pound of commercial explosives, magnets, and electrical components, hidden inside of a lunchbox and placed under a vehicle, was used in the attack",0,0,0,0,0,0,-9,4,Unknown,0, ,0,0,0,0, , , ,0, , , , , ,0, ,0, ,"Henry McDonald, “IRA Rebels Attempt to Bomb Catholic Police Recruit,” The Observer, June 9, 2002.","“IRA Accused of Attack on Cop,” The People, June 9, 2002.","Dan McGinn, “Car bomb bid to kill Catholic policeman,” The Journal, June 8, 2002.",CETIS,0,0,1,1, ,105,95DD08W1,Castle Demesne,Castle Demesne,95DD08W1,2126,823,1123,29,151,38.71,52.82,1.36,7.1
7,51,2.00807E+11,2008,7,11, ,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Rasharkin,54.953823,-6.480002,1,0,"County Antrim. The attack occurred at Rasharkin village, County Antrim, Northern Ireland, Great Britain.","07/11/2008: On Friday, unknown arsonists threw a petrol bomb at the bar on Main street in Rasharkin, Northern Ireland, Great Britain.  No casualties were reported.  The Irish Republican Army was blamed for the attack.",1,1,1,0,0, ,0,1,0,7,Facility/Infrastructure Attack,0, ,0, ,1,Business,2,Restaurant/Bar/Café,Se Og,The Se Og bar,233,Northern Ireland,0, ,0, , , ,0, , , , , , , , , ,Irish Republican Army (IRA), , , , , ,The specific motive for the attack is unknown.,1,0, ,0,-99,0,0,0, ,0,0, , , , ,0,8,Incendiary,18,Arson/Fire,0, ,0, , , , , , , , , ,An unspecified petrol bomb was used.,0,0,0,0,0,0,1,3,Minor (likely < $1 million),0,Eight windows were shattered.,0,0,0,0, , , ,0, , , , , ,0, ,0, ,"BBC News, ""Petrol Bomb Thrown at Village Pub,"" BBC News, http://news.bbc.co.uk/1/hi/northern_ireland/7501917.stm.","Lexis Nexis, ""Republicans to Blame for Pub Attack,"" Belfast News, July 12, 2008.", ,ISVG,0,0,1,1, ,134,95EE10W1,Killoquin Upper,Killoquin Upper,95EE10W1,1797,1069,677,11,40,59.49,37.67,0.61,2.23
8,132,2.01312E+11,2013,12,5, ,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Belfast,54.614858,-5.961527,1,0,The incident occurred in the Ardoyne neighborhood of the city.,"12/05/2013: Assailants opened fire on three police vehicles in Ardoyne neighborhood, Belfast city, Belfast district, Northern Ireland, United Kingdom. There were no casualties in the attack; however, two police vehicles and a street sign were damaged by",1,1,1,0,0, ,0,1,0,2,Armed Assault,0, ,0, ,3,Police,23,Police Patrol (including vehicles and convoys),Police Service of Northern Ireland (PSNI),Vehicles,233,Northern Ireland,0, ,0, , , ,0, , , , , , , , , ,The New Irish Republican Army, , , , , , ,0,0, ,0,3,3,0,0, ,0,0, , , , ,0,5,Firearms,2,Automatic Weapon,0, ,0, , , , , , , , , ,Assault rifles were used in the attack.,0,0,0,0,0,0,1,3,Minor (likely < $1 million),-99,Two police vehicles and a digital warning sign were damaged in this attack.,0,0,0,0, , , ,0, , , , , ,0, ,0, ,"""Colin Duffy among three terror accused,"" BBC, December 17, 2013.","""Police say gun attack in north Belfast could have killed,"" BBC, December 6, 2013.","""'Very significant' bomb plot foiled in Belfast,"" UPI, December 19, 2013.",START Primary Collection,1,1,1,1, ,163,95GG02S1,Ardoyne_1,Ardoyne 1,95GG02S1,1745,1621,104,5,15,92.89,5.96,0.29,0.86
9,191,2.01511E+11,2015,11,13, ,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Belfast,54.616249,-5.963771,1,1,The incident occurred in the Cranbrook Gardens area in the Ardoyne neighborhood.,"11/13/2015: Assailants shot and injured a civilian at Cranbrook Gardens in Ardoyne neighborhood, Belfast, Northern Ireland, United Kingdom. The New Irish Republican Army claimed responsibility for the incident.",1,1,1,0,0, ,0,1,0,2,Armed Assault,0, ,0, ,14,Private Citizens & Property,67,Unnamed Civilian/Unspecified,Not Applicable,Civilian,233,Northern Ireland,0, ,0, , , ,0, , , , , , , , , ,The New Irish Republican Army, , , , , , ,0,0, ,0,-99,0,1,10,Unknown,0,0, , , , ,0,5,Firearms,5,Unknown Gun Type,0, ,0, , , , , , , , , , ,0,0,0,1,0,0,0,0, ,0, ,0,0,0,0, , , ,0, , , , , ,0, ,0, ,"""'IRA' admits shooting man at house,"" Irish News, December 5, 2015.", , ,START Primary Collection,1,1,1,1, ,163,95GG02S1,Ardoyne_1,Ardoyne 1,95GG02S1,1745,1621,104,5,15,92.89,5.96,0.29,0.86
